% Model,zeeman_20260415_longitudual.mph
% Version,COMSOL 6.3.0.290
% Date,"Apr 15 2026, 17:27"
% Dimension,1
% Nodes,199
% Expressions,1
% Description,线结果图
% 弧长 (mm),磁通密度，x 分量
0,0.4191713409249301
1.666666666666666,1.4482683649107404
3.333333333333334,2.4773653888965543
5,3.515619299232476
6.666666666666667,4.245683972784821
8.333333333333334,4.96659175998708
10,5.708658986164217
11.666666666666666,6.015025162221757
13.333333333333332,6.300231899304418
14.999999999999998,6.558990889457908
16.666666666666668,6.599559601150293
18.333333333333336,6.666576059771803
20,6.657092251887566
21.666666666666664,6.406678720798958
23.333333333333332,6.23276545621612
25,6.05708511902816
26.666666666666664,5.824762461013635
28.333333333333332,5.5942068756042165
29.999999999999996,5.362034864353634
31.666666666666668,5.144749695111885
33.33333333333333,4.929080951711303
35,4.733396867177072
36.666666666666664,4.617736183427284
38.33333333333333,4.482090840811087
40,4.371709473612368
41.66666666666666,4.540806322203342
43.333333333333336,4.684639195376875
45,4.831209198803855
46.666666666666664,5.066656175641221
48.333333333333336,5.299366022225176
50,5.576949827769164
51.666666666666664,5.685484866848306
53.333333333333336,5.749145946967449
55,5.8123661348253135
56.666666666666664,5.835271998329542
58.33333333333333,5.858618754095078
59.99999999999999,5.851390890134956
61.66666666666666,6.260681530279067
63.33333333333333,6.700546790148849
65,7.152566433281182
66.66666666666667,8.164379524129878
68.33333333333334,9.164038231715985
70,10.293786230178869
71.66666666666666,11.272832068096813
73.33333333333334,12.121788615137959
75,13.008736367529705
76.66666666666667,13.232224085135538
78.33333333333333,13.417720597390765
80,13.414866756725438
81.66666666666667,11.90567806133981
83.33333333333333,10.58483971887477
85,9.23215912041584
86.66666666666666,7.686758908338083
88.33333333333333,6.173200952254231
90,4.564642547717293
91.66666666666667,3.854780104288056
93.33333333333334,3.239918109311943
95,2.6127506820707658
96.66666666666667,2.1586513954469226
98.33333333333333,1.7168575410881453
100,1.240700823337391
101.66666666666666,0.5005765560103653
103.33333333333333,-0.2051848479246582
105,-0.8627932353233179
106.6666666666667,-0.9928492950721304
108.33333333333333,-1.1710583713572391
110,-1.4678189191116289
111.66666666666669,1.1452935617811828
113.33333333333333,3.876957514143305
115.00000000000001,6.551729353169429
